Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
20,0.78,8.9804,0.11135,215.64,302.49,6.207,0.74485,1.053,350.13,2.1768,1.77E-05,0.025632
20,0.79,9.0957,0.10994,215.62,302.47,6.2032,0.74487,1.0531,350.14,2.1761,1.77E-05,0.025636
20,0.8,9.211,0.10857,215.6,302.45,6.1994,0.7449,1.0533,350.16,2.1753,1.77E-05,0.025639
20,0.81,9.3263,0.10722,215.58,302.43,6.1956,0.74492,1.0535,350.17,2.1745,1.77E-05,0.025643
20,0.82,9.4417,0.10591,215.55,302.4,6.1919,0.74495,1.0536,350.19,2.1737,1.77E-05,0.025647
20,0.83,9.557,0.10464,215.53,302.38,6.1882,0.74498,1.0538,350.21,2.173,1.77E-05,0.025651
20,0.84,9.6723,0.10339,215.51,302.36,6.1846,0.745,1.054,350.22,2.1722,1.77E-05,0.025654
20,0.85,9.7877,0.10217,215.49,302.33,6.181,0.74503,1.0542,350.24,2.1714,1.77E-05,0.025658
20,0.86,9.903,0.10098,215.47,302.31,6.1775,0.74505,1.0543,350.25,2.1706,1.77E-05,0.025662
20,0.87,10.018,0.099816,215.45,302.29,6.174,0.74508,1.0545,350.27,2.1699,1.77E-05,0.025666
20,0.88,10.134,0.09868,215.43,302.27,6.1705,0.74511,1.0547,350.29,2.1691,1.77E-05,0.025669
20,0.89,10.249,0.097569,215.41,302.24,6.1671,0.74513,1.0549,350.3,2.1683,1.77E-05,0.025673
20,0.9,10.364,0.096483,215.38,302.22,6.1637,0.74516,1.055,350.32,2.1676,1.77E-05,0.025677
20,0.91,10.48,0.095421,215.36,302.2,6.1604,0.74518,1.0552,350.34,2.1668,1.77E-05,0.025681
20,0.92,10.595,0.094382,215.34,302.17,6.157,0.74521,1.0554,350.35,2.166,1.77E-05,0.025685
20,0.93,10.711,0.093365,215.32,302.15,6.1538,0.74524,1.0555,350.37,2.1652,1.77E-05,0.025689
20,0.94,10.826,0.09237,215.3,302.13,6.1505,0.74526,1.0557,350.38,2.1645,1.77E-05,0.025692
20,0.95,10.941,0.091396,215.28,302.11,6.1473,0.74529,1.0559,350.4,2.1637,1.77E-05,0.025696
20,0.96,11.057,0.090442,215.26,302.08,6.1441,0.74531,1.0561,350.42,2.1629,1.77E-05,0.0257
20,0.97,11.172,0.089508,215.24,302.06,6.141,0.74534,1.0562,350.43,2.1621,1.77E-05,0.025704
20,0.98,11.288,0.088593,215.22,302.04,6.1379,0.74536,1.0564,350.45,2.1614,1.77E-05,0.025708
20,0.99,11.403,0.087697,215.19,302.01,6.1348,0.74539,1.0566,350.47,2.1606,1.77E-05,0.025712
20,1,11.518,0.086818,215.17,301.99,6.1317,0.74542,1.0567,350.48,2.1598,1.77E-05,0.025716
21,0.01,0.11454,8.7303,218.01,305.31,7.5092,0.74285,1.0398,349.57,2.2195,1.76E-05,0.025438
21,0.02,0.22909,4.365,217.99,305.29,7.3034,0.74287,1.04,349.58,2.2187,1.76E-05,0.025441
21,0.03,0.34365,2.91,217.97,305.27,7.183,0.7429,1.0401,349.6,2.218,1.76E-05,0.025444
21,0.04,0.45821,2.1824,217.95,305.24,7.0975,0.74292,1.0403,349.61,2.2172,1.76E-05,0.025447
