Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
22,0.77,14.394,0.069472,443.24,496.73,2.3294,0.67251,0.90053,261.98,11.255,1.49E-05,0.016737
22,0.78,14.59,0.068542,443.17,496.63,2.3267,0.67279,0.9014,261.9,11.255,1.49E-05,0.016743
22,0.79,14.785,0.067636,443.09,496.53,2.3241,0.67308,0.90226,261.81,11.256,1.49E-05,0.016748
22,0.8,14.981,0.066753,443.02,496.43,2.3215,0.67336,0.90313,261.73,11.256,1.49E-05,0.016754
22,0.81,15.177,0.065891,442.95,496.32,2.3189,0.67364,0.904,261.65,11.257,1.49E-05,0.016759
22,0.82,15.373,0.06505,442.88,496.22,2.3163,0.67393,0.90487,261.56,11.258,1.49E-05,0.016765
22,0.83,15.569,0.06423,442.81,496.12,2.3138,0.67421,0.90575,261.48,11.258,1.49E-05,0.016771
22,0.84,15.766,0.063429,442.74,496.02,2.3113,0.6745,0.90662,261.4,11.259,1.49E-05,0.016776
22,0.85,15.962,0.062647,442.67,495.92,2.3088,0.67478,0.9075,261.31,11.259,1.49E-05,0.016782
22,0.86,16.16,0.061883,442.59,495.81,2.3063,0.67507,0.90838,261.23,11.26,1.49E-05,0.016788
22,0.87,16.357,0.061136,442.52,495.71,2.3039,0.67535,0.90927,261.15,11.26,1.49E-05,0.016793
22,0.88,16.554,0.060407,442.45,495.61,2.3015,0.67564,0.91016,261.06,11.261,1.49E-05,0.016799
22,0.89,16.752,0.059694,442.38,495.51,2.2991,0.67593,0.91105,260.98,11.261,1.49E-05,0.016805
22,0.9,16.95,0.058996,442.31,495.4,2.2968,0.67621,0.91194,260.9,11.262,1.49E-05,0.016811
22,0.91,17.148,0.058314,442.23,495.3,2.2944,0.6765,0.91284,260.81,11.262,1.49E-05,0.016817
22,0.92,17.347,0.057647,442.16,495.2,2.2921,0.67679,0.91374,260.73,11.263,1.49E-05,0.016822
22,0.93,17.546,0.056994,442.09,495.1,2.2898,0.67708,0.91464,260.65,11.264,1.49E-05,0.016828
22,0.94,17.745,0.056355,442.02,494.99,2.2875,0.67737,0.91554,260.56,11.264,1.49E-05,0.016834
22,0.95,17.944,0.05573,441.95,494.89,2.2853,0.67766,0.91645,260.48,11.265,1.49E-05,0.01684
22,0.96,18.143,0.055117,441.87,494.79,2.2831,0.67795,0.91736,260.39,11.265,1.49E-05,0.016846
22,0.97,18.343,0.054517,441.8,494.68,2.2809,0.67824,0.91827,260.31,11.266,1.49E-05,0.016852
22,0.98,18.543,0.053929,441.73,494.58,2.2787,0.67853,0.91918,260.22,11.266,1.49E-05,0.016858
22,0.99,18.743,0.053353,441.66,494.48,2.2765,0.67882,0.9201,260.14,11.267,1.49E-05,0.016864
22,1,18.943,0.052789,441.58,494.37,2.2744,0.67911,0.92102,260.06,11.267,1.49E-05,0.01687
23,0.01,0.17882,5.5921,449.08,505,3.1706,0.65316,0.84253,268.51,11.118,1.48E-05,0.016441
23,0.02,0.35783,2.7947,449.01,504.91,3.0394,0.65341,0.84322,268.43,11.118,1.48E-05,0.016446
23,0.03,0.53701,1.8622,448.95,504.81,2.9626,0.65367,0.84392,268.35,11.119,1.48E-05,0.01645
23,0.04,0.71638,1.3959,448.88,504.72,2.908,0.65392,0.84461,268.28,11.119,1.48E-05,0.016455
23,0.05,0.89593,1.1162,448.82,504.63,2.8657,0.65417,0.84531,268.2,11.12,1.48E-05,0.016459
23,0.06,1.0757,0.92965,448.75,504.53,2.831,0.65442,0.84602,268.12,11.12,1.48E-05,0.016463
23,0.07,1.2556,0.79644,448.69,504.44,2.8017,0.65468,0.84672,268.04,11.121,1.48E-05,0.016468
23,0.08,1.4357,0.69653,448.62,504.34,2.7762,0.65493,0.84743,267.96,11.121,1.48E-05,0.016472
23,0.09,1.616,0.61882,448.55,504.25,2.7537,0.65519,0.84813,267.89,11.122,1.48E-05,0.016477
23,0.1,1.7965,0.55665,448.49,504.15,2.7336,0.65544,0.84884,267.81,11.122,1.48E-05,0.016481
23,0.11,1.9771,0.50579,448.42,504.06,2.7154,0.6557,0.84955,267.73,11.123,1.48E-05,0.016486
23,0.12,2.158,0.4634,448.36,503.97,2.6987,0.65595,0.85026,267.65,11.123,1.48E-05,0.01649
23,0.13,2.339,0.42753,448.29,503.87,2.6834,0.65621,0.85098,267.57,11.124,1.48E-05,0.016495
23,0.14,2.5202,0.39679,448.23,503.78,2.6691,0.65646,0.85169,267.5,11.124,1.48E-05,0.016499
23,0.15,2.7016,0.37015,448.16,503.68,2.6559,0.65672,0.85241,267.42,11.125,1.48E-05,0.016504
23,0.16,2.8832,0.34683,448.09,503.59,2.6435,0.65698,0.85313,267.34,11.125,1.48E-05,0.016509
23,0.17,3.065,0.32626,448.03,503.49,2.6318,0.65723,0.85385,267.26,11.126,1.48E-05,0.016513
23,0.18,3.247,0.30798,447.96,503.4,2.6208,0.65749,0.85457,267.18,11.126,1.48E-05,0.016518
23,0.19,3.4292,0.29162,447.89,503.3,2.6103,0.65775,0.8553,267.1,11.127,1.48E-05,0.016522
23,0.2,3.6115,0.27689,447.83,503.21,2.6004,0.65801,0.85603,267.02,11.127,1.48E-05,0.016527
23,0.21,3.7941,0.26357,447.76,503.11,2.591,0.65826,0.85675,266.95,11.128,1.48E-05,0.016532
23,0.22,3.9768,0.25146,447.69,503.02,2.582,0.65852,0.85748,266.87,11.128,1.48E-05,0.016536
23,0.23,4.1598,0.2404,447.63,502.92,2.5733,0.65878,0.85822,266.79,11.129,1.48E-05,0.016541
23,0.24,4.3429,0.23026,447.56,502.82,2.5651,0.65904,0.85895,266.71,11.129,1.48E-05,0.016546
23,0.25,4.5262,0.22094,447.49,502.73,2.5571,0.6593,0.85969,266.63,11.13,1.48E-05,0.01655
23,0.26,4.7097,0.21233,447.43,502.63,2.5495,0.65956,0.86042,266.55,11.13,1.48E-05,0.016555
23,0.27,4.8934,0.20436,447.36,502.54,2.5421,0.65982,0.86116,266.47,11.131,1.48E-05,0.01656
23,0.28,5.0773,0.19695,447.29,502.44,2.535,0.66008,0.86191,266.39,11.131,1.49E-05,0.016565
23,0.29,5.2614,0.19006,447.23,502.35,2.5282,0.66034,0.86265,266.31,11.132,1.49E-05,0.016569
23,0.3,5.4457,0.18363,447.16,502.25,2.5215,0.6606,0.8634,266.24,11.132,1.49E-05,0.016574
23,0.31,5.6302,0.17761,447.09,502.15,2.5151,0.66086,0.86414,266.16,11.133,1.49E-05,0.016579
23,0.32,5.8149,0.17197,447.03,502.06,2.5089,0.66112,0.86489,266.08,11.133,1.49E-05,0.016584
23,0.33,5.9998,0.16667,446.96,501.96,2.5029,0.66138,0.86564,266,11.134,1.49E-05,0.016589
23,0.34,6.1849,0.16168,446.89,501.86,2.497,0.66165,0.8664,265.92,11.134,1.49E-05,0.016593
23,0.35,6.3702,0.15698,446.82,501.77,2.4913,0.66191,0.86715,265.84,11.135,1.49E-05,0.016598
23,0.36,6.5556,0.15254,446.76,501.67,2.4857,0.66217,0.86791,265.76,11.136,1.49E-05,0.016603
23,0.37,6.7413,0.14834,446.69,501.57,2.4803,0.66243,0.86867,265.68,11.136,1.49E-05,0.016608
23,0.38,6.9272,0.14436,446.62,501.48,2.4751,0.6627,0.86943,265.6,11.137,1.49E-05,0.016613
23,0.39,7.1133,0.14058,446.55,501.38,2.4699,0.66296,0.87019,265.52,11.137,1.49E-05,0.016618
23,0.4,7.2996,0.13699,446.49,501.28,2.4649,0.66322,0.87096,265.44,11.138,1.49E-05,0.016623
23,0.41,7.486,0.13358,446.42,501.19,2.46,0.66349,0.87173,265.36,11.138,1.49E-05,0.016628
23,0.42,7.6727,0.13033,446.35,501.09,2.4552,0.66375,0.8725,265.28,11.139,1.49E-05,0.016633
23,0.43,7.8596,0.12723,446.28,500.99,2.4506,0.66402,0.87327,265.2,11.139,1.49E-05,0.016637
23,0.44,8.0467,0.12427,446.21,500.89,2.446,0.66428,0.87404,265.12,11.14,1.49E-05,0.016642
23,0.45,8.234,0.12145,446.15,500.8,2.4415,0.66455,0.87482,265.04,11.14,1.49E-05,0.016647
23,0.46,8.4215,0.11874,446.08,500.7,2.4371,0.66482,0.87559,264.96,11.141,1.49E-05,0.016652
23,0.47,8.6092,0.11615,446.01,500.6,2.4328,0.66508,0.87637,264.88,11.141,1.49E-05,0.016657
23,0.48,8.7971,0.11367,445.94,500.5,2.4286,0.66535,0.87715,264.8,11.142,1.49E-05,0.016663
23,0.49,8.9852,0.11129,445.87,500.41,2.4245,0.66562,0.87794,264.72,11.142,1.49E-05,0.016668
23,0.5,9.1736,0.10901,445.8,500.31,2.4204,0.66588,0.87872,264.64,11.143,1.49E-05,0.016673
23,0.51,9.3621,0.10681,445.74,500.21,2.4165,0.66615,0.87951,264.56,11.143,1.49E-05,0.016678
23,0.52,9.5508,0.1047,445.67,500.11,2.4126,0.66642,0.8803,264.48,11.144,1.49E-05,0.016683
23,0.53,9.7398,0.10267,445.6,500.01,2.4087,0.66669,0.88109,264.4,11.144,1.49E-05,0.016688
23,0.54,9.9289,0.10072,445.53,499.92,2.405,0.66696,0.88189,264.32,11.145,1.49E-05,0.016693
23,0.55,10.118,0.098831,445.46,499.82,2.4013,0.66723,0.88269,264.24,11.145,1.49E-05,0.016698
23,0.56,10.308,0.097013,445.39,499.72,2.3976,0.6675,0.88348,264.16,11.146,1.49E-05,0.016703
23,0.57,10.498,0.095259,445.32,499.62,2.394,0.66777,0.88429,264.08,11.146,1.49E-05,0.016709
23,0.58,10.688,0.093566,445.25,499.52,2.3905,0.66804,0.88509,264,11.147,1.49E-05,0.016714
23,0.59,10.878,0.09193,445.19,499.42,2.3871,0.66831,0.88589,263.91,11.147,1.49E-05,0.016719
23,0.6,11.068,0.090348,445.12,499.33,2.3836,0.66858,0.8867,263.83,11.148,1.49E-05,0.016724
23,0.61,11.259,0.088818,445.05,499.23,2.3803,0.66885,0.88751,263.75,11.148,1.49E-05,0.016729
23,0.62,11.45,0.087338,444.98,499.13,2.377,0.66912,0.88832,263.67,11.149,1.49E-05,0.016735
23,0.63,11.641,0.085904,444.91,499.03,2.3737,0.66939,0.88914,263.59,11.15,1.49E-05,0.01674
23,0.64,11.832,0.084516,444.84,498.93,2.3705,0.66966,0.88995,263.51,11.15,1.49E-05,0.016745
23,0.65,12.024,0.08317,444.77,498.83,2.3673,0.66994,0.89077,263.43,11.151,1.49E-05,0.016751
23,0.66,12.215,0.081864,444.7,498.73,2.3642,0.67021,0.89159,263.35,11.151,1.49E-05,0.016756
23,0.67,12.407,0.080598,444.63,498.63,2.3611,0.67048,0.89242,263.27,11.152,1.49E-05,0.016761
23,0.68,12.599,0.079369,444.56,498.53,2.3581,0.67076,0.89324,263.18,11.152,1.49E-05,0.016767
23,0.69,12.792,0.078175,444.49,498.43,2.3551,0.67103,0.89407,263.1,11.153,1.49E-05,0.016772
23,0.7,12.984,0.077016,444.42,498.33,2.3522,0.67131,0.8949,263.02,11.153,1.49E-05,0.016777
23,0.71,13.177,0.075889,444.35,498.23,2.3492,0.67158,0.89574,262.94,11.154,1.49E-05,0.016783
23,0.72,13.37,0.074793,444.28,498.13,2.3464,0.67186,0.89657,262.86,11.154,1.49E-05,0.016788
23,0.73,13.563,0.073728,444.21,498.03,2.3435,0.67213,0.89741,262.78,11.155,1.49E-05,0.016794
23,0.74,13.757,0.072691,444.14,497.93,2.3407,0.67241,0.89825,262.7,11.155,1.49E-05,0.016799
23,0.75,13.951,0.071681,444.07,497.83,2.3379,0.67269,0.89909,262.61,11.156,1.49E-05,0.016805
23,0.76,14.145,0.070699,444,497.73,2.3352,0.67296,0.89993,262.53,11.156,1.49E-05,0.01681
23,0.77,14.339,0.069742,443.93,497.63,2.3325,0.67324,0.90078,262.45,11.157,1.49E-05,0.016816
23,0.78,14.533,0.068809,443.86,497.53,2.3298,0.67352,0.90163,262.37,11.157,1.49E-05,0.016821
23,0.79,14.728,0.0679,443.79,497.43,2.3271,0.6738,0.90248,262.29,11.158,1.49E-05,0.016827
23,0.8,14.922,0.067013,443.72,497.33,2.3245,0.67407,0.90334,262.2,11.158,1.49E-05,0.016832
23,0.81,15.117,0.066149,443.65,497.23,2.3219,0.67435,0.90419,262.12,11.159,1.49E-05,0.016838
23,0.82,15.313,0.065305,443.58,497.13,2.3194,0.67463,0.90505,262.04,11.159,1.49E-05,0.016843
23,0.83,15.508,0.064482,443.51,497.03,2.3168,0.67491,0.90591,261.96,11.16,1.49E-05,0.016849
23,0.84,15.704,0.063678,443.44,496.92,2.3143,0.67519,0.90678,261.87,11.161,1.49E-05,0.016855
23,0.85,15.9,0.062894,443.36,496.82,2.3119,0.67547,0.90765,261.79,11.161,1.49E-05,0.01686
23,0.86,16.096,0.062127,443.29,496.72,2.3094,0.67575,0.90851,261.71,11.162,1.49E-05,0.016866
23,0.87,16.292,0.061378,443.22,496.62,2.307,0.67603,0.90939,261.63,11.162,1.49E-05,0.016872
23,0.88,16.489,0.060646,443.15,496.52,2.3046,0.67632,0.91026,261.55,11.163,1.49E-05,0.016877
23,0.89,16.686,0.059931,443.08,496.42,2.3022,0.6766,0.91114,261.46,11.163,1.49E-05,0.016883
23,0.9,16.883,0.059231,443.01,496.32,2.2998,0.67688,0.91202,261.38,11.164,1.49E-05,0.016889
23,0.91,17.08,0.058547,442.94,496.21,2.2975,0.67716,0.9129,261.3,11.164,1.49E-05,0.016895
23,0.92,17.278,0.057877,442.86,496.11,2.2952,0.67745,0.91378,261.21,11.165,1.49E-05,0.0169
23,0.93,17.476,0.057222,442.79,496.01,2.2929,0.67773,0.91467,261.13,11.165,1.49E-05,0.016906
23,0.94,17.674,0.056581,442.72,495.91,2.2906,0.67801,0.91556,261.05,11.166,1.49E-05,0.016912
23,0.95,17.872,0.055953,442.65,495.81,2.2884,0.6783,0.91645,260.97,11.166,1.49E-05,0.016918
23,0.96,18.071,0.055339,442.58,495.7,2.2862,0.67858,0.91735,260.88,11.167,1.49E-05,0.016924
23,0.97,18.269,0.054737,442.51,495.6,2.284,0.67887,0.91824,260.8,11.167,1.49E-05,0.01693
23,0.98,18.468,0.054147,442.43,495.5,2.2818,0.67916,0.91915,260.72,11.168,1.49E-05,0.016936
23,0.99,18.668,0.053569,442.36,495.4,2.2796,0.67944,0.92005,260.63,11.168,1.49E-05,0.016941
23,1,18.867,0.053003,442.29,495.29,2.2775,0.67973,0.92095,260.55,11.169,1.49E-05,0.016947
