Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.72,0.595,1.6807,2638.4,3848.5,44.99,10.162,14.301,1307.8,-0.29086,8.81E-06,0.18254
19,0.73,0.60322,1.6578,2638.4,3848.5,44.933,10.162,14.302,1307.9,-0.29091,8.81E-06,0.18255
19,0.74,0.61145,1.6355,2638.3,3848.6,44.877,10.162,14.302,1307.9,-0.29096,8.81E-06,0.18255
19,0.75,0.61968,1.6137,2638.3,3848.6,44.821,10.162,14.302,1308,-0.29101,8.81E-06,0.18256
19,0.76,0.6279,1.5926,2638.3,3848.6,44.766,10.163,14.303,1308.1,-0.29106,8.81E-06,0.18257
19,0.77,0.63613,1.572,2638.2,3848.7,44.712,10.163,14.303,1308.2,-0.29111,8.81E-06,0.18258
19,0.78,0.64435,1.552,2638.2,3848.7,44.659,10.163,14.303,1308.3,-0.29116,8.81E-06,0.18259
19,0.79,0.65257,1.5324,2638.2,3848.8,44.606,10.163,14.303,1308.4,-0.29121,8.81E-06,0.1826
19,0.8,0.66079,1.5133,2638.1,3848.8,44.554,10.163,14.304,1308.5,-0.29126,8.81E-06,0.1826
19,0.81,0.66901,1.4947,2638.1,3848.9,44.503,10.163,14.304,1308.5,-0.29131,8.81E-06,0.18261
19,0.82,0.67723,1.4766,2638.1,3848.9,44.452,10.163,14.304,1308.6,-0.29136,8.81E-06,0.18262
19,0.83,0.68545,1.4589,2638.1,3848.9,44.402,10.163,14.305,1308.7,-0.29141,8.81E-06,0.18263
19,0.84,0.69367,1.4416,2638,3849,44.353,10.163,14.305,1308.8,-0.29146,8.81E-06,0.18264
19,0.85,0.70189,1.4247,2638,3849,44.304,10.163,14.305,1308.9,-0.29151,8.81E-06,0.18264
19,0.86,0.7101,1.4083,2638,3849.1,44.256,10.163,14.305,1309,-0.29156,8.81E-06,0.18265
19,0.87,0.71832,1.3921,2637.9,3849.1,44.208,10.163,14.306,1309.1,-0.29161,8.81E-06,0.18266
19,0.88,0.72653,1.3764,2637.9,3849.1,44.161,10.164,14.306,1309.1,-0.29166,8.81E-06,0.18267
19,0.89,0.73474,1.361,2637.9,3849.2,44.114,10.164,14.306,1309.2,-0.29171,8.81E-06,0.18268
19,0.9,0.74295,1.346,2637.8,3849.2,44.068,10.164,14.307,1309.3,-0.29176,8.81E-06,0.18269
19,0.91,0.75116,1.3313,2637.8,3849.3,44.022,10.164,14.307,1309.4,-0.29181,8.81E-06,0.18269
19,0.92,0.75937,1.3169,2637.8,3849.3,43.977,10.164,14.307,1309.5,-0.29186,8.81E-06,0.1827
19,0.93,0.76758,1.3028,2637.8,3849.4,43.932,10.164,14.307,1309.6,-0.29191,8.81E-06,0.18271
19,0.94,0.77579,1.289,2637.7,3849.4,43.888,10.164,14.308,1309.7,-0.29197,8.81E-06,0.18272
19,0.95,0.784,1.2755,2637.7,3849.4,43.844,10.164,14.308,1309.7,-0.29202,8.81E-06,0.18273
19,0.96,0.7922,1.2623,2637.7,3849.5,43.801,10.164,14.308,1309.8,-0.29207,8.81E-06,0.18273
19,0.97,0.80041,1.2494,2637.6,3849.5,43.758,10.164,14.309,1309.9,-0.29212,8.81E-06,0.18274
19,0.98,0.80861,1.2367,2637.6,3849.6,43.716,10.164,14.309,1310,-0.29217,8.81E-06,0.18275
19,0.99,0.81681,1.2243,2637.6,3849.6,43.674,10.164,14.309,1310.1,-0.29222,8.81E-06,0.18276
19,1,0.82501,1.2121,2637.5,3849.6,43.632,10.165,14.309,1310.2,-0.29227,8.81E-06,0.18277
20,0.01,0.0082704,120.91,2650.7,3859.8,62.685,10.16,14.285,1303.9,-0.28941,8.81E-06,0.18238
