Temperature,Pressure,Density,SpecificVolume,InternalEnergy,Enthalpy,Entropy,Cv,Cp,SpeedSound,JT,Viscosity,ThermalConductivity
19,0.53,7.0079,0.1427,188.77,264.39,5.9556,0.6587,0.92597,325.46,2.7705,2.02E-05,0.026128
19,0.54,7.1407,0.14004,188.75,264.37,5.9507,0.65872,0.92614,325.46,2.7699,2.02E-05,0.026131
19,0.55,7.2734,0.13749,188.73,264.34,5.9458,0.65875,0.9263,325.46,2.7694,2.02E-05,0.026133
19,0.56,7.4062,0.13502,188.71,264.32,5.9411,0.65877,0.92647,325.46,2.7689,2.02E-05,0.026136
19,0.57,7.5389,0.13264,188.68,264.29,5.9364,0.6588,0.92664,325.46,2.7683,2.02E-05,0.026138
19,0.58,7.6717,0.13035,188.66,264.27,5.9318,0.65882,0.92681,325.46,2.7678,2.02E-05,0.026141
19,0.59,7.8046,0.12813,188.64,264.24,5.9273,0.65885,0.92698,325.46,2.7673,2.02E-05,0.026143
19,0.6,7.9374,0.12599,188.62,264.22,5.9229,0.65888,0.92714,325.47,2.7667,2.02E-05,0.026146
19,0.61,8.0702,0.12391,188.6,264.19,5.9185,0.6589,0.92731,325.47,2.7662,2.02E-05,0.026149
19,0.62,8.2031,0.1219,188.58,264.16,5.9142,0.65893,0.92748,325.47,2.7657,2.02E-05,0.026151
19,0.63,8.336,0.11996,188.56,264.14,5.91,0.65895,0.92765,325.47,2.7651,2.03E-05,0.026154
19,0.64,8.4689,0.11808,188.54,264.11,5.9058,0.65898,0.92782,325.47,2.7646,2.03E-05,0.026157
19,0.65,8.6018,0.11625,188.52,264.09,5.9017,0.65901,0.92798,325.47,2.764,2.03E-05,0.026159
19,0.66,8.7348,0.11449,188.5,264.06,5.8977,0.65903,0.92815,325.47,2.7635,2.03E-05,0.026162
19,0.67,8.8677,0.11277,188.48,264.04,5.8937,0.65906,0.92832,325.47,2.763,2.03E-05,0.026165
19,0.68,9.0007,0.1111,188.46,264.01,5.8898,0.65908,0.92849,325.47,2.7624,2.03E-05,0.026167
19,0.69,9.1337,0.10948,188.44,263.98,5.8859,0.65911,0.92866,325.47,2.7619,2.03E-05,0.02617
19,0.7,9.2667,0.10791,188.42,263.96,5.8821,0.65914,0.92883,325.47,2.7613,2.03E-05,0.026173
19,0.71,9.3998,0.10639,188.4,263.93,5.8784,0.65916,0.929,325.47,2.7608,2.03E-05,0.026175
19,0.72,9.5328,0.1049,188.38,263.91,5.8747,0.65919,0.92916,325.47,2.7603,2.03E-05,0.026178
19,0.73,9.6659,0.10346,188.36,263.88,5.871,0.65921,0.92933,325.48,2.7597,2.03E-05,0.026181
19,0.74,9.799,0.10205,188.34,263.86,5.8674,0.65924,0.9295,325.48,2.7592,2.03E-05,0.026183
19,0.75,9.9321,0.10068,188.32,263.83,5.8638,0.65927,0.92967,325.48,2.7586,2.03E-05,0.026186
19,0.76,10.065,0.099352,188.3,263.8,5.8603,0.65929,0.92984,325.48,2.7581,2.03E-05,0.026189
19,0.77,10.198,0.098055,188.28,263.78,5.8569,0.65932,0.93001,325.48,2.7576,2.03E-05,0.026191
